Algorithm,InputSize,Time
BST,2048,0.00325
BST,4096,0.00236
BST,8192,0.00345
BST,16384,0.00516
BST,32768,0.00628
BST,65536,0.00850
BST,131072,0.01059
BST,262144,0.01105
BST,524288,0.01248
