Algorithm,InputSize,Time
BST,2048,0.00138
BST,4096,0.00283
BST,8192,0.00714
BST,16384,0.01567
BST,32768,0.03350
BST,65536,0.10565
BST,131072,0.33906
BST,262144,0.93908
BST,524288,1.82344
