Algorithm,InputSize,Time
BST,2048,0.00021
BST,4096,0.00035
BST,8192,0.00076
BST,16384,0.00169
BST,32768,0.00404
BST,65536,0.01177
BST,131072,0.03217
BST,262144,0.09663
BST,524288,0.22467
