Algorithm,InputSize,Time
AVL,2048,0.00021
AVL,4096,0.00042
AVL,8192,0.00095
AVL,16384,0.00227
AVL,32768,0.00457
AVL,65536,0.01465
AVL,131072,0.04275
AVL,262144,0.08678
AVL,524288,0.19331
