Algorithm,InputSize,Time
AVL,2048,0.01383
AVL,4096,0.02637
AVL,8192,0.05471
AVL,16384,0.14369
AVL,32768,0.30747
AVL,65536,0.62032
AVL,131072,1.46502
AVL,262144,3.32852
AVL,524288,7.32180
