Algorithm,InputSize,Time
AVL,2048,0.00110
AVL,4096,0.00077
AVL,8192,0.00103
AVL,16384,0.00110
AVL,32768,0.00205
AVL,65536,0.00372
AVL,131072,0.00463
AVL,262144,0.00524
AVL,524288,0.00612
