Algorithm,InputSize,Time
BST,2048,0.00183
BST,4096,0.00375
BST,8192,0.00903
BST,16384,0.01849
BST,32768,0.04365
BST,65536,0.09613
BST,131072,0.26325
BST,262144,0.72135
BST,524288,1.74844
